Player,Country,Agents,NumAgents,Rnd,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
kramarick,BR,"brimstone, omen",2,209,209.7,1.18,79%,138.4,0.77,0.41,0.07,0.05,34%,20%,Apr-20,24,160,136,85,15,11
Only1,KR,"neon, yoru, raze",3,323,241.5,1.13,73%,156.4,0.87,0.2,0.22,0.15,28%,19%,May-27,31,282,249,65,71,49
isaa,BR,"vyse, viper, cypher",3,287,197.8,1.31,77%,130.8,0.71,0.3,0.07,0.06,26%,19%,May-26,20,205,156,86,20,18
Disorded,NO,"omen, reyna, jett",3,122,236.3,1.24,73%,147.2,0.85,0.25,0.16,0.14,35%,25%,02-Aug,22,104,84,30,20,17
Azara,AR,"neon, omen",2,35,232.5,1.14,63%,154.2,0.91,0.2,0.09,0.14,31%,,0/8,20,32,28,7,3,5
Leen,SA,"jett, raze, neon",3,668,253.5,1.2,71%,153.9,0.91,0.15,0.23,0.18,34%,16%,Aug-51,39,605,506,99,151,121
Veroneze,BR,"vyse, cypher",2,91,239.6,1.18,66%,160.5,0.85,0.11,0.08,0.11,38%,12%,Feb-17,22,77,65,10,7,10
Chronicle,RU,"breach, gekko, viper",3,985,214.5,1.17,74%,143,0.75,0.31,0.09,0.07,25%,11%,13/115,29,736,627,306,87,68
ANDY,AU,"iso, neon, jett",3,257,244.3,1.19,70%,160.7,0.87,0.18,0.12,0.11,24%,3%,Jan-31,24,224,188,46,31,28
welyy,NO,"sova, fade, skye",3,1296,204.1,1.11,77%,131.8,0.68,0.37,0.07,0.05,24%,17%,32/189,25,876,791,484,94,64
k1ngkappa,ID,"viper, killjoy, cypher",3,626,228.3,1.24,73%,148.2,0.81,0.2,0.11,0.08,31%,16%,Sep-58,28,509,412,126,68,51
Sevire,GB,"tejo, omen, gekko",3,341,222.9,1.19,71%,147.2,0.8,0.27,0.12,0.12,31%,27%,Oct-37,23,274,230,91,40,40
sarie,US,"reyna, chamber, jett",3,70,271.7,1.25,64%,182.7,0.93,0.14,0.16,0.19,37%,,0/8,25,65,52,10,11,13
LauGuz,CO,"raze, jett",2,111,257.3,1.1,76%,168.7,0.88,0.19,0.21,0.11,31%,,0/9,19,98,89,21,23,12
Bobbiexo,GB,"astra, viper, cypher",3,430,190.6,1.18,73%,129.3,0.7,0.29,0.05,0.06,27%,15%,Dec-82,26,299,253,126,20,26
l8rr,UN,omen,1,44,232,1.23,70%,149.5,0.86,0.14,0.11,0.14,38%,,0/5,22,38,31,6,5,6
yo1th,TW,"tejo, breach",2,48,237.5,1.06,81%,155.6,0.79,0.31,0.13,0.06,28%,,0/4,21,38,36,15,6,3
infiltrator,VN,"yoru, neon, jett",3,651,246.6,1.19,72%,158.5,0.86,0.18,0.21,0.15,27%,12%,May-42,26,560,472,120,137,98
waved,BR,"jett, neon, raze",3,529,268.4,1.17,72%,172.6,0.91,0.23,0.25,0.2,25%,19%,Apr-21,28,482,413,121,130,107
cullumx,DK,"yoru, reyna, jett",3,58,250,1.15,60%,170.9,0.91,0.16,0.12,0.12,41%,,0/6,20,53,46,9,7,7
Kiles,UA,"cypher, viper, vyse",3,629,209.3,1.26,74%,134.4,0.76,0.22,0.07,0.07,35%,16%,13/83,25,481,382,137,46,45
BLOD,BH,"astra, omen, cypher",3,86,224,1.13,74%,154.7,0.81,0.27,0.08,0.13,33%,18%,Mar-17,20,70,62,23,7,11
Legend,US,"jett, yoru",2,200,233.6,1.18,74%,148.1,0.84,0.17,0.13,0.11,34%,11%,Mar-28,27,167,141,33,25,21
Lucio,FR,"fade, sova, reyna",3,197,191.4,1.15,74%,126,0.7,0.26,0.07,0.04,37%,24%,Jul-29,26,138,120,51,13,7
ponix,CL,"sova, fade, skye",3,529,195.7,1.15,78%,124.8,0.69,0.43,0.06,0.05,24%,14%,Sep-66,22,367,318,229,30,27
Spear,TR,"viper, cypher, raze",3,448,216.3,1.17,73%,147.5,0.78,0.23,0.09,0.08,32%,13%,Jul-53,37,350,299,103,39,36
yoko,DE,"astra, omen, viper",3,124,204,1.1,69%,129.1,0.74,0.4,0.07,0.04,36%,27%,03-Nov,22,92,84,49,9,5
Luca,JP,"vyse, cypher, deadlock",3,323,202.5,1.13,72%,135.5,0.74,0.25,0.09,0.07,33%,30%,15/50,24,239,212,82,28,24
Lusadris,TR,"neon, chamber, jett",3,175,229,1.23,70%,145.2,0.82,0.15,0.16,0.13,32%,12%,Mar-25,30,143,116,26,28,23
cyndaquil,UN,"yoru, reyna",2,48,242,1.11,71%,155.3,0.85,0.23,0.04,0.15,32%,17%,01-Jun,21,41,37,11,2,7
Mihlog,VN,"tejo, deadlock, sova",3,301,200.7,1.17,78%,135.9,0.72,0.33,0.07,0.08,27%,13%,May-38,24,217,185,99,21,24
f1cio,VN,"vyse, viper, cypher",3,301,206.1,1.19,72%,140,0.75,0.29,0.1,0.07,32%,23%,Aug-35,27,225,189,86,31,20
SkRossi,IN,"cypher, chamber, vyse",3,492,218.1,1.2,74%,142,0.8,0.2,0.15,0.11,28%,12%,Jun-49,39,394,329,97,72,53
solo88,RU,"viper, cypher",2,47,195,1.25,70%,129.1,0.74,0.17,0.04,0.04,38%,,0/7,19,35,28,8,2,2
EJAY,PH,"neon, raze, yoru",3,170,250.8,1.25,76%,158,0.88,0.21,0.19,0.11,21%,,0/6,27,149,119,35,33,19
s0m,US,"vyse, killjoy, omen",3,671,214.3,1.16,76%,140.5,0.75,0.37,0.1,0.11,25%,22%,13/59,25,506,436,249,65,73
mwzera,BR,"fade, sova, viper",3,216,212,1.14,71%,141.2,0.75,0.28,0.05,0.07,25%,20%,Jun-30,23,161,141,60,11,15
Eskild1k,NO,"neon, sage, jett",3,59,277,1.13,66%,171,0.9,0.2,0.34,0.19,33%,,0/3,20,53,47,12,20,11
hxyden,GB,sova,1,92,199.3,1.15,73%,136.1,0.74,0.24,0.05,0.07,28%,18%,Mar-17,20,68,59,22,5,6
aLerT,TH,"cypher, yoru, kayo",3,351,221.8,1.25,77%,140.6,0.78,0.24,0.13,0.12,26%,23%,Jul-31,28,275,220,85,47,43
scooby,SE,"astra, jett, neon",3,227,236.5,1.16,69%,134.5,0.84,0.19,0.16,0.13,30%,14%,Apr-29,26,190,164,43,37,29
Hayden,US,"kayo, jett",2,47,249.5,1.05,74%,150.5,0.87,0.28,0.15,0.11,20%,,0/7,25,41,39,13,7,5
twelve,SG,"cypher, viper, vyse",3,318,217.4,1.11,69%,145.5,0.77,0.26,0.08,0.08,30%,20%,14/69,24,245,220,84,26,26
eeiu,CA,"sova, tejo, fade",3,615,205.9,1.16,73%,139.5,0.74,0.25,0.06,0.06,29%,12%,Oct-84,24,455,392,155,39,34
Natasha,BR,"vyse, cypher, viper",3,315,218.6,1.14,72%,147.2,0.79,0.24,0.11,0.07,35%,12%,Jul-59,28,250,220,77,36,23
